row_id,emoji,unicode,unicode_slug,name,unicode_description,emojinet_name,emojinet_category,emojinet_shortcode,emojinet_definition,emojinet_keywords,canonical_unicode_image_path,available_vendor_count,available_vendors,has_apple,has_google,has_facebook,has_windows,has_twitter,has_joypixels,has_samsung,has_gmail,has_softbank,has_docomo,has_kddi
1,😀,U+1F600,U+1F600,grinning face,grinning face,grinning face,Emoticons -> Faces,:grinning:,"A face with a big open (grinning) mouth, showing teeth. Differs only slightly from the Smiling Face With Open Mouth And Smiling Eyes by the  http://emojipedia.org/grinning-face/",grin|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0001_u1f600.png,8,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail,1,1,1,1,1,1,1,1,0,0,0
2,😃,U+1F603,U+1F603,grinning face with big eyes,grinning face with big eyes,smiling face with open mouth,Emoticons -> Faces,:smiley:,"A classic smiley-face emoji with an open mouth showing teeth, and tall, open eyes. Differs only slightly from the Smiling Face With Open Mou http://emojipedia.org/smiling-face-with-open-mouth/",smile|mouth|open|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0002_u1f603.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1
3,😄,U+1F604,U+1F604,grinning face with smiling eyes,grinning face with smiling eyes,smiling face with open mouth & smiling eyes,Emoticons -> Faces,:smile:,"A happy and smiling face with big open mouth, showing teeth. Differs only slightly from the Smiling Face With Open Mouth emoji by the fact t http://emojipedia.org/smiling-face-with-open-mouth-and-smiling-eyes/",eye|smile|mouth|open|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0003_u1f604.png,9,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank,1,1,1,1,1,1,1,1,1,0,0
4,😁,U+1F601,U+1F601,beaming face with smiling eyes,beaming face with smiling eyes,grinning face with smiling eyes,Emoticons -> Faces,:grin:,"A version of the grinning face showing smiling eyes. This emoji previously looked closer to the grimacing face on many platforms, but is now http://emojipedia.org/grinning-face-with-smiling-eyes/",eye|smile|grin|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0004_u1f601.png,11,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|DoCoMo|KDDI,1,1,1,1,1,1,1,1,1,1,1
5,😆,U+1F606,U+1F606,grinning squinting face,grinning squinting face,smiling face with open mouth & closed eyes,Emoticons -> Faces,":laughing:,:satisfied:","A face with a big smiling mouth, and scrunched-closed eyes. May be used in a similar context to the text-based >< emoticon. Smiling Face Wit http://emojipedia.org/smiling-face-with-open-mouth-and-tightly-closed-eyes/",laugh|smile|mouth|open|face|satisfied,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0005_u1f606.png,9,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|DoCoMo,1,1,1,1,1,1,1,1,0,1,0
6,😅,U+1F605,U+1F605,grinning face with sweat,grinning face with sweat,smiling face with open mouth & cold sweat,Emoticons -> Faces,:sweat_smile:,"The same face as Smiling Face With Open Mouth And Smiling Eyes, but with a single drop of sweat on one side of the face. A rarely used emoji http://emojipedia.org/smiling-face-with-open-mouth-and-cold-sweat/",cold|smile|open|sweat|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0006_u1f605.png,9,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|DoCoMo,1,1,1,1,1,1,1,1,0,1,0
7,🤣,U+1F923,U+1F923,rolling on the floor laughing,rolling on the floor laughing,rolling on the floor laughing,Supplemental Symbols And Pictographs -> Emoticon faces,,"A character lying on the floor due to an extreme amount of laughter. Face is laughing, possibly with one hand hitting the floor. An emoji ve http://emojipedia.org/rolling-on-the-floor-laughing/",laugh|rolling|floor|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0007_u1f923.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0
8,😂,U+1F602,U+1F602,face with tears of joy,face with tears of joy,face with tears of joy,Emoticons -> Faces,:joy:,A laughing emoji which at small sizes is often mistaken for being tears of sadness. This emoji is laughing so much that it is crying tears o http://emojipedia.org/face-with-tears-of-joy/,laugh|joy|face|tear,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0008_u1f602.png,10,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail|SoftBank|KDDI,1,1,1,1,1,1,1,1,1,0,1
9,🙂,U+1F642,U+1F642,slightly smiling face,slightly smiling face,slightly smiling face,Emoticons -> Faces,,"A face that is a little bit happy, with a slight smile and neutral eyes. Slightly Smiling Face was approved as part of Unicode 7.0 in 2014 a http://emojipedia.org/slightly-smiling-face/",smile|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0009_u1f642.png,8,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung|Gmail,1,1,1,1,1,1,1,1,0,0,0
10,🙃,U+1F643,U+1F643,upside-down face,upside-down face,upside-down face,Emoticons -> Faces,,"A face that is upside-down, often representing a sense silliness or goofiness. Sometimes used as an ambiguous emotion, such as joking or sar http://emojipedia.org/upside-down-face/",upside-down|face,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/unicode_256/0010_u1f643.png,7,Apple|Google|Facebook|Windows|Twitter|JoyPixels|Samsung,1,1,1,1,1,1,1,0,0,0,0
