pair_id,task_type,split,source_row_id,source_vendor,source_emoji,source_name,source_unicode_slug,source_image_path,source_emotion,source_sentiment,target_row_id,target_vendor,target_emoji,target_name,target_unicode_slug,target_image_path,target_emotion,target_sentiment,instruction,attribute_delta
style_000001,style_transfer,train,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Google style.",vendor:Apple->Google
style_000002,style_transfer,test,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Facebook style.",vendor:Apple->Facebook
style_000003,style_transfer,train,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,1,Windows,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Windows/0001_u1f600.png,joy,positive,Change only the visual style to Windows while preserving the same expression.,vendor:Apple->Windows
style_000004,style_transfer,train,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,1,Twitter,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Twitter/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Twitter style.",vendor:Apple->Twitter
style_000005,style_transfer,val,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,1,JoyPixels,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/JoyPixels/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in JoyPixels style.",vendor:Apple->JoyPixels
style_000006,style_transfer,train,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,1,Samsung,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Samsung/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Samsung style.",vendor:Apple->Samsung
style_000007,style_transfer,train,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,1,Gmail,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Gmail/0001_u1f600.png,joy,positive,Restyle this grinning face as a Gmail emoji.,vendor:Apple->Gmail
style_000008,style_transfer,train,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,Change only the visual style to Apple while preserving the same expression.,vendor:Google->Apple
style_000009,style_transfer,train,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Facebook style.",vendor:Google->Facebook
style_000010,style_transfer,train,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,1,Windows,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Windows/0001_u1f600.png,joy,positive,Change only the visual style to Windows while preserving the same expression.,vendor:Google->Windows
style_000011,style_transfer,train,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,1,Twitter,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Twitter/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Twitter style.",vendor:Google->Twitter
style_000012,style_transfer,train,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,1,JoyPixels,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/JoyPixels/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in JoyPixels style.",vendor:Google->JoyPixels
style_000013,style_transfer,train,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,1,Samsung,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Samsung/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Samsung style.",vendor:Google->Samsung
style_000014,style_transfer,train,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,1,Gmail,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Gmail/0001_u1f600.png,joy,positive,Restyle this grinning face as a Gmail emoji.,vendor:Google->Gmail
style_000015,style_transfer,train,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,1,Apple,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png,joy,positive,Change only the visual style to Apple while preserving the same expression.,vendor:Facebook->Apple
style_000016,style_transfer,val,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,1,Google,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Google style.",vendor:Facebook->Google
style_000017,style_transfer,train,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,1,Windows,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Windows/0001_u1f600.png,joy,positive,Change only the visual style to Windows while preserving the same expression.,vendor:Facebook->Windows
style_000018,style_transfer,train,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,1,Twitter,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Twitter/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Twitter style.",vendor:Facebook->Twitter
style_000019,style_transfer,train,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,1,JoyPixels,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/JoyPixels/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in JoyPixels style.",vendor:Facebook->JoyPixels
style_000020,style_transfer,train,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,1,Samsung,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Samsung/0001_u1f600.png,joy,positive,"Keep the same emoji, but render it in Samsung style.",vendor:Facebook->Samsung
style_000021,style_transfer,train,1,Facebook,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png,joy,positive,1,Gmail,😀,grinning face,U+1F600,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Gmail/0001_u1f600.png,joy,positive,Restyle this grinning face as a Gmail emoji.,vendor:Facebook->Gmail
