SI,Emoji Unicode,Emoji Name,Emoji Character
1,U+1F947,:1st_place_medal:,🥇
2,U+1F948,:2nd_place_medal:,🥈
3,U+1F949,:3rd_place_medal:,🥉
4,U+1F18E,:AB_button_(blood_type):,🆎
5,U+1F3E7,:ATM_sign:,🏧
6,U+1F170-U+FE0F,:A_button_(blood_type):,🅰️
7,U+1F170,:A_button_(blood_type):,🅰
8,U+1F1E6-U+1F1EB,:Afghanistan:,🇦🇫
9,U+1F1E6-U+1F1F1,:Albania:,🇦🇱
10,U+1F1E9-U+1F1FF,:Algeria:,🇩🇿
11,U+1F1E6-U+1F1F8,:American_Samoa:,🇦🇸
12,U+1F1E6-U+1F1E9,:Andorra:,🇦🇩
13,U+1F1E6-U+1F1F4,:Angola:,🇦🇴
14,U+1F1E6-U+1F1EE,:Anguilla:,🇦🇮
15,U+1F1E6-U+1F1F6,:Antarctica:,🇦🇶
16,U+1F1E6-U+1F1EC,:Antigua_&_Barbuda:,🇦🇬
17,U+2652,:Aquarius:,♒
18,U+1F1E6-U+1F1F7,:Argentina:,🇦🇷
19,U+2648,:Aries:,♈
20,U+1F1E6-U+1F1F2,:Armenia:,🇦🇲
21,U+1F1E6-U+1F1FC,:Aruba:,🇦🇼
22,U+1F1E6-U+1F1E8,:Ascension_Island:,🇦🇨
23,U+1F1E6-U+1F1FA,:Australia:,🇦🇺
24,U+1F1E6-U+1F1F9,:Austria:,🇦🇹
25,U+1F1E6-U+1F1FF,:Azerbaijan:,🇦🇿
26,U+1F519,:BACK_arrow:,🔙
27,U+1F171-U+FE0F,:B_button_(blood_type):,🅱️
28,U+1F171,:B_button_(blood_type):,🅱
29,U+1F1E7-U+1F1F8,:Bahamas:,🇧🇸
30,U+1F1E7-U+1F1ED,:Bahrain:,🇧🇭
31,U+1F1E7-U+1F1E9,:Bangladesh:,🇧🇩
32,U+1F1E7-U+1F1E7,:Barbados:,🇧🇧
33,U+1F1E7-U+1F1FE,:Belarus:,🇧🇾
34,U+1F1E7-U+1F1EA,:Belgium:,🇧🇪
35,U+1F1E7-U+1F1FF,:Belize:,🇧🇿
36,U+1F1E7-U+1F1EF,:Benin:,🇧🇯
37,U+1F1E7-U+1F1F2,:Bermuda:,🇧🇲
38,U+1F1E7-U+1F1F9,:Bhutan:,🇧🇹
39,U+1F1E7-U+1F1F4,:Bolivia:,🇧🇴
40,U+1F1E7-U+1F1E6,:Bosnia_&_Herzegovina:,🇧🇦
41,U+1F1E7-U+1F1FC,:Botswana:,🇧🇼
42,U+1F1E7-U+1F1FB,:Bouvet_Island:,🇧🇻
43,U+1F1E7-U+1F1F7,:Brazil:,🇧🇷
44,U+1F1EE-U+1F1F4,:British_Indian_Ocean_Territory:,🇮🇴
45,U+1F1FB-U+1F1EC,:British_Virgin_Islands:,🇻🇬
46,U+1F1E7-U+1F1F3,:Brunei:,🇧🇳
47,U+1F1E7-U+1F1EC,:Bulgaria:,🇧🇬
48,U+1F1E7-U+1F1EB,:Burkina_Faso:,🇧🇫
49,U+1F1E7-U+1F1EE,:Burundi:,🇧🇮
50,U+1F191,:CL_button:,🆑
51,U+1F192,:COOL_button:,🆒
52,U+1F1F0-U+1F1ED,:Cambodia:,🇰🇭
53,U+1F1E8-U+1F1F2,:Cameroon:,🇨🇲
